Date/Time,Word Count,en,pt-BR
2026.07.06-20.02.20,19,19,0
2026.07.06-20.07.32,19,19,4
2026.07.06-20.23.27,22,22,3
2026.07.06-20.27.15,22,22,4
2026.07.06-20.32.40,16,16,3
2026.07.06-20.34.30,16,11,3
2026.07.06-20.36.01,16,11,10
2026.07.06-20.37.52,15,10,9
2026.07.06-20.42.04,15,10,6
2026.07.06-20.45.54,12,12,6
2026.07.06-20.47.48,12,12,10
2026.07.07-01.02.54,15,15,8
2026.07.07-01.03.52,15,15,13
2026.07.09-21.01.06,21,21,13
2026.07.09-21.03.37,21,21,18
2026.07.09-21.07.04,21,21,15
2026.07.12-20.23.51,32,32,14
2026.07.12-20.27.13,32,32,21
